imagename,cid,met
4.max,QmNRxs2ZaLoBhjmXJRPX47ELm1R5WpVmo8VnPMu4MSKgH5,QmU1pTvv5k3HshTQNwZh2VMcr6ou5yEutE9f1kMhhXRAn5
4,QmWeciqFc3BYRGVYXmKeBNqrd77FK67t4m5B2vRFpKmZhw,QmY2WfVeN1eWz9TrPpPW5KpXFb63HRaUU9yimnHVUgqqDf
5.140,QmdjoTn8fZc7VrVxCghicoNZ4Bp3eqkZ5fyoGXHQ8Gt7NQ,QmPUu9egevFq21Cmsv18dBEpiFHE4p2Ek72wEaQPm5tjEA
5.280,QmedcTYXPX11AbthFT2cvQd3fjEUXAtztpvznMr35RZ6qR,Qmdn4Ve6LrAsgFJbQVmt3edJ47vxeF1cNcCsHwTrzEJCbn
5.310,QmQ9SYYJWTZnCYPWGvk5QznPXRmYaqCoQ1ktA3MP4SJ7xz,QmR3Zb3RR65H7WBDHYVNcY2bRZtKD9pygJ35en58r3Ur1T
5.max,QmNo2pUEhUfNKKvSnCCvhyz9QprGUCE2B7VbFGDzsq6xTq,QmUcHpqKtzirGNdy5tykVi8FbKCCFBWAvF8CJDLUFsmNvr
5,QmcSB2chTuPEoEKKUBFomQY771RaYd9nR5qjrjNTCsGzvM,QmdS2Sdb4ZPhPsN21LdXs9KZ7jLyow6rjuxjKJSSFcyag4
6.140,QmTbVUubdiRUfiMhFoDYTUKbUYPtiGgx5TByAPWhf4xvsT,QmNvmRbsVo5SwQN8XHUFtLGC9ZqT8mCjL9wu8KZz2TQnhU
6.280,QmQvtgTwSP41MywEtoeCKUFESx1H9jsHu9ajYJ8dZmZgxK,QmNS5S1NMd98haimbQjMGBd6CFqBqA5hrzV5FcySWa3oZD
6.310,QmWgnWhkSwMNQA9EPdyefaUiNvUMVMrQ75ScXUEaoWEuse,QmVWuGkgm7KDYk7m3zgn6E8BezCV4cXuEKCNyqeqpDE2k7
6.max,QmcAB6jVCKjYResAbt2vLkWLqi5BCKz5K5DhtN78GKgPss,QmVy5CLc48VmUiDKr4D7mx51Da1z9qvuvq7MENMGf8Mp7G
6,QmRRKVCYTSCrG3Txtf2LT7uLzaLRxVgvTJTYxUp8qYXTV7,QmXCi7ypnobE5Q3KX5sYXMR8QkKCheGm8xE3UpkBm5WoUM
7.140,QmUMs57wqKU1Rny6kZ4nZ8xv92cpmEucqE3uPeK7o95G5g,QmSMz9LYmQ77pxAUjy7aotPhCjRZ1RDUzqyNdkHRJ2NEQf
7.280,QmPm4iHhx8MD34fti3cmATKUJm8QPiL33dhWxMkPfkbT4H,QmaTMZzpLtXJZ2X4vHrP2SMoZsoBsMeuLYZVwyRr5KbZep
7.310,QmSR22A2jpVYUbS2Nf3ze2ToDM1Y5cw2bQuhQMFcwS6GxU,QmfR2q9QJyujLmG5q6ZbRbT5tpFDf24wvfikE3ob7QDKTD
7.max,Qmd7pg16DzV3tvoWv4qYDaiheLnycmvoG7F3jKMDz8bz3c,Qma1FfypCD6aLRNCYVw3JhaxFLKocWDvNqr2qknWdwcCWt
7,Qmbq9W4tAn8cKgeoCw5DLiLrtpsG1rZeF9PSDyjqBY2iya,QmPDwqsbYdMSLgfmXedxDGxDmx11VwWYBc91soZLRdGGGL
8.140,QmeHv3RSyyFJ4s4L2LbathZo1AgRzSL8s2syijbsPTycFL,Qmai7Lnhq3bvWjcgwZMppV664Jv58j8qHRnHRkHF8b6ecX
8.280,QmeecvLxjB59G3MnhhXwSaK9XrXLEk6E74ZWCCW2qAixxt,QmY3mjXj7G5guPKKBZ6CpoghEqTBA9XmkABvsJbB3LWcJG
8.310,Qmc2t3985UwovaXpATRkJX5FPUdrCW3knWJHB7eivNTre7,QmcWWFFxAaMGJ57zoUBmap9gDaNWGJugMmmvggkB86gbC1
8.max,QmXeDxmriqgzm9wcbXWMkge6MH8PHdL1n8gPqmHw4vCkMz,QmXFCoKQQ1vpnQdVe69xbRDaAqZayDpmJHgafi7RiSc2dS
8,QmPKsC3jyyKgJiuiDgmBTseTKktezTn8kWTPmp8QbeoKEQ,Qma7YPx4aN4KdeJdBcCMY5aHhY4fpQwjsHb7pyfHWTDNGT

